Date,LastFFundBuy,LastFFundSell,LastOpen,LastHigh,LastLow,LastClose,LastDiffOpenClose,1thFFundDiff,2thFFundDiff,3thFFundDiff,4thFFundDiff,5thFFundDiff,6thFFundDiff,7thFFundDiff
20200609,54251585047.0,44597423870.0,11539.0,11631.89,11528.44,11610.32,59.6,15428860416.0,1728257798.0,17642474608.0,4483499962.0,7059493551.0,9654161177.0,6822457604.0
20200610,46768103700.0,39945646096.0,11600.61,11640.45,11537.38,11637.11,-9.71,1728257798.0,17642474608.0,4483499962.0,7059493551.0,9654161177.0,6822457604.0,10230425908.0
20200611,55091372862.0,44860946954.0,11635.99,11740.9,11621.02,11720.16,-1.12,17642474608.0,4483499962.0,7059493551.0,9654161177.0,6822457604.0,10230425908.0,227886180.0
20200612,56059950298.0,55832064118.0,11738.49,11771.12,11516.59,11535.77,18.33,4483499962.0,7059493551.0,9654161177.0,6822457604.0,10230425908.0,227886180.0,2950215202.0
20200615,51633607454.0,48683392252.0,11406.54,11442.3,11244.64,11429.94,-129.23,7059493551.0,9654161177.0,6822457604.0,10230425908.0,227886180.0,2950215202.0,-15647644944.0
20200616,35036346437.0,50683991381.0,11436.28,11469.84,11299.45,11306.26,6.34,9654161177.0,6822457604.0,10230425908.0,227886180.0,2950215202.0,-15647644944.0,18352782961.0
20200617,53488275850.0,35135492889.0,11380.67,11542.25,11380.67,11511.64,74.41,6822457604.0,10230425908.0,227886180.0,2950215202.0,-15647644944.0,18352782961.0,3775687339.0
20200618,43957824194.0,40182136855.0,11525.5,11550.32,11482.32,11534.59,13.86,10230425908.0,227886180.0,2950215202.0,-15647644944.0,18352782961.0,3775687339.0,2250829579.0
20200619,48607121186.0,46356291607.0,11534.2,11567.42,11485.39,11548.33,-0.39,227886180.0,2950215202.0,-15647644944.0,18352782961.0,3775687339.0,2250829579.0,-10219528934.0
20200622,78513712648.0,88733241582.0,11557.27,11584.88,11542.37,11549.86,8.94,2950215202.0,-15647644944.0,18352782961.0,3775687339.0,2250829579.0,-10219528934.0,2364258723.0
20200623,42884762667.0,40520503944.0,11553.91,11632.88,11553.91,11572.93,4.05,-15647644944.0,18352782961.0,3775687339.0,2250829579.0,-10219528934.0,2364258723.0,3810223208.0
20200624,54013466954.0,50203243746.0,11618.42,11679.4,11530.85,11612.36,45.49,18352782961.0,3775687339.0,2250829579.0,-10219528934.0,2364258723.0,3810223208.0,9333285270.0
20200629,56214982735.0,46881697465.0,11647.86,11701.23,11637.79,11660.67,35.5,3775687339.0,2250829579.0,-10219528934.0,2364258723.0,3810223208.0,9333285270.0,-12939439896.0
20200630,55007505541.0,67946945437.0,11608.8,11608.8,11500.65,11542.62,-51.87,2250829579.0,-10219528934.0,2364258723.0,3810223208.0,9333285270.0,-12939439896.0,6838905409.0
20200701,56769888714.0,49930983305.0,11563.6,11638.0,11563.6,11621.24,20.98,-10219528934.0,2364258723.0,3810223208.0,9333285270.0,-12939439896.0,6838905409.0,3650038323.0
20200702,41308179491.0,37658141168.0,11622.64,11736.39,11622.64,11703.42,1.4,2364258723.0,3810223208.0,9333285270.0,-12939439896.0,6838905409.0,3650038323.0,2857823145.0
20200703,44478608529.0,41620785384.0,11694.1,11805.21,11690.95,11805.14,-9.32,3810223208.0,9333285270.0,-12939439896.0,6838905409.0,3650038323.0,2857823145.0,10666904741.0
