Date,1thFFundDiff,2thFFundDiff,3thFFundDiff,4thFFundDiff,5thFFundDiff,6thFFundDiff,7thFFundDiff
20200609,15428860416,1728257798,17642474608,4483499962,7059493551,9654161177,6822457604
20200610,1728257798,17642474608,4483499962,7059493551,9654161177,6822457604,10230425908
20200611,17642474608,4483499962,7059493551,9654161177,6822457604,10230425908,227886180
20200612,4483499962,7059493551,9654161177,6822457604,10230425908,227886180,2950215202
20200615,7059493551,9654161177,6822457604,10230425908,227886180,2950215202,-15647644944
20200616,9654161177,6822457604,10230425908,227886180,2950215202,-15647644944,18352782961
20200617,6822457604,10230425908,227886180,2950215202,-15647644944,18352782961,3775687339
20200618,10230425908,227886180,2950215202,-15647644944,18352782961,3775687339,2250829579
20200619,227886180,2950215202,-15647644944,18352782961,3775687339,2250829579,-10219528934
20200622,2950215202,-15647644944,18352782961,3775687339,2250829579,-10219528934,2364258723
20200623,-15647644944,18352782961,3775687339,2250829579,-10219528934,2364258723,3810223208
20200624,18352782961,3775687339,2250829579,-10219528934,2364258723,3810223208,9333285270
20200629,3775687339,2250829579,-10219528934,2364258723,3810223208,9333285270,-12939439896
20200630,2250829579,-10219528934,2364258723,3810223208,9333285270,-12939439896,6838905409
20200701,-10219528934,2364258723,3810223208,9333285270,-12939439896,6838905409,3650038323
20200702,2364258723,3810223208,9333285270,-12939439896,6838905409,3650038323,2857823145
20200703,3810223208,9333285270,-12939439896,6838905409,3650038323,2857823145,10666904741
20200706,9333285270,-12939439896,6838905409,3650038323,2857823145,10666904741,20152618292
20200707,-12939439896,6838905409,3650038323,2857823145,10666904741,20152618292,4572952047
20200708,6838905409,3650038323,2857823145,10666904741,20152618292,4572952047,-5498958959
20200709,3650038323,2857823145,10666904741,20152618292,4572952047,-5498958959,-6669438106
20200710,2857823145,10666904741,20152618292,4572952047,-5498958959,-6669438106,254833120
20200713,10666904741,20152618292,4572952047,-5498958959,-6669438106,254833120,4377525643
20200714,20152618292,4572952047,-5498958959,-6669438106,254833120,4377525643,-4732200604
20200715,4572952047,-5498958959,-6669438106,254833120,4377525643,-4732200604,3959024230
20200716,-5498958959,-6669438106,254833120,4377525643,-4732200604,3959024230,-7058164222
20200717,-6669438106,254833120,4377525643,-4732200604,3959024230,-7058164222,1780208668
