Date,LastFFundDiff,LastFFundBuy,LastFFundSell,LastOpen,LastHigh,LastLow,LastClose,LastDiffOpenClose
20200603,1728257798,46917426481,45189168683,11109.27,11170.49,11102.97,11127.93,30.25
20200604,17642474608,62453116202,44810641594,11182.52,11330.52,11182.52,11320.16,54.59
20200605,4483499962,50379304412,45895804450,11373.94,11425.42,11341.58,11393.23,53.78
20200608,7059493551,45971985238,38912491687,11418.01,11482.36,11411.94,11479.4,24.78
20200609,9654161177,54251585047,44597423870,11539.0,11631.89,11528.44,11610.32,59.6
20200610,6822457604,46768103700,39945646096,11600.61,11640.45,11537.38,11637.11,-9.71
20200611,10230425908,55091372862,44860946954,11635.99,11740.9,11621.02,11720.16,-1.12
20200612,227886180,56059950298,55832064118,11738.49,11771.12,11516.59,11535.77,18.33
20200615,2950215202,51633607454,48683392252,11406.54,11442.3,11244.64,11429.94,-129.23
20200616,-15647644944,35036346437,50683991381,11436.28,11469.84,11299.45,11306.26,6.34
20200617,18352782961,53488275850,35135492889,11380.67,11542.25,11380.67,11511.64,74.41
20200618,3775687339,43957824194,40182136855,11525.5,11550.32,11482.32,11534.59,13.86
20200619,2250829579,48607121186,46356291607,11534.2,11567.42,11485.39,11548.33,-0.39
20200622,-10219528934,78513712648,88733241582,11557.27,11584.88,11542.37,11549.86,8.94
20200623,2364258723,42884762667,40520503944,11553.91,11632.88,11553.91,11572.93,4.05
20200624,3810223208,54013466954,50203243746,11618.42,11679.4,11530.85,11612.36,45.49
20200629,9333285270,56214982735,46881697465,11647.86,11701.23,11637.79,11660.67,35.5
20200630,-12939439896,55007505541,67946945437,11608.8,11608.8,11500.65,11542.62,-51.87
20200701,6838905409,56769888714,49930983305,11563.6,11638.0,11563.6,11621.24,20.98
20200702,3650038323,41308179491,37658141168,11622.64,11736.39,11622.64,11703.42,1.4
20200703,2857823145,44478608529,41620785384,11694.1,11805.21,11690.95,11805.14,-9.32
20200706,10666904741,46360598882,35693694141,11857.9,11933.59,11857.9,11909.16,52.76
20200707,20152618292,65837386141,45684767849,11941.84,12116.7,11941.84,12116.7,32.68
20200708,4572952047,68833491977,64260539930,12176.79,12249.95,12028.57,12092.97,60.09
20200709,-5498958959,53281199219,58780158178,12086.13,12190.27,12083.84,12170.19,-6.84
20200710,-6669438106,51074900518,57744338624,12222.9,12273.43,12181.34,12192.69,52.71
20200713,254833120,62547759529,62292926409,12250.44,12253.58,12030.2,12073.68,57.75
20200714,4377525643,53925475061,49547949418,12109.61,12216.24,12109.61,12211.56,35.93
20200715,-4732200604,52387365764,57119566368,12202.89,12228.31,12143.91,12209.01,-8.67
20200716,3959024230,66105394992,62146370762,12233.99,12320.48,12162.52,12202.85,24.98
20200717,-7058164222,51364830826,58422995048,12173.04,12220.93,12107.04,12157.74,-29.81
20200720,1780208668,48567700439,46787491771,12195.72,12266.93,12144.62,12181.56,37.98
20200721,4354201361,49876747403,45522546042,12205.25,12221.33,12065.8,12174.54,23.69
20200722,12640568658,65230255984,52589687326,12242.32,12450.16,12242.32,12397.55,67.78
20200723,-2381908225,48828047540,51209955765,12389.76,12486.95,12389.4,12473.27,-7.79
20200724,-8869322986,51350296088,60219619074,12423.02,12429.76,12347.86,12413.04,-50.25
20200727,-10770065236,62897600697,73667665933,12467.43,12502.84,12266.55,12304.04,54.39
20200728,7532010246,70026962140,62494951894,12618.69,12686.36,12586.91,12588.3,314.65
20200729,-7303868396,97309302368,104613170764,12951.72,13031.7,12533.19,12586.73,363.42
20200730,-6124890839,61827556835,67952447674,12530.74,12660.87,12488.01,12540.97,-55.99
20200731,-2838321858,60059576546,62897898404,12691.86,12769.47,12616.83,12722.92,150.89
20200803,-8909517046,58198953561,67108470607,12653.46,12733.48,12635.71,12664.8,-69.46
20200804,-30242797765,56580400132,86823197897,12642.73,12673.02,12506.59,12513.03,-22.07
20200805,5606282147,56591152370,50984870223,12577.88,12709.92,12577.88,12709.92,64.85
20200806,-291023313,57588767247,57879790560,12762.34,12816.39,12739.99,12802.3,52.42
20200807,3912251760,62581098097,58668846337,12894.24,12971.87,12851.2,12913.5,91.94
20200810,-12188470936,53019143646,65207614582,12901.43,12912.63,12791.18,12828.87,-12.07
20200811,2752292767,54385129043,51632836276,12786.8,12933.16,12786.8,12894.0,-42.07
20200812,-4971255621,49406016035,54377271656,12856.46,12906.01,12780.19,12780.19,-37.54
20200813,-10420073627,48342138857,58762212484,12713.63,12730.96,12625.54,12670.35,-66.56
20200814,7232612033,65982446222,58749834189,12758.87,12812.8,12717.13,12763.13,88.52
