Date,DiffBtwOpen
20200602,137.87
20200603,73.25
20200604,191.42
20200605,44.07
20200608,120.99
20200609,61.61
20200610,35.38
20200611,102.5
20200612,-331.95
20200615,29.74
20200616,-55.61
20200617,144.83
20200618,8.7
20200619,23.07
20200622,-3.36
20200623,64.51
20200624,29.44
20200629,-39.06
20200630,-45.2
20200701,59.04
20200702,71.46
20200703,163.8
20200706,83.94
20200707,234.95
20200708,-90.66
20200709,136.77
20200710,27.54
20200713,-140.83
20200714,93.28
20200715,31.1
20200716,-60.95
20200717,22.68
20200720,9.53
20200721,37.07
20200722,147.44
20200723,33.26
20200724,44.41
20200727,151.26
20200728,333.03
20200729,-420.98
20200730,161.12
20200731,-38.4
20200803,-10.73
20200804,-64.85
20200805,184.46
20200806,131.9
20200807,7.19
20200810,-114.63
20200811,69.66
20200812,-142.83
20200813,45.24
20200814,-48.9
20200817,103.97
20200818,161.02
20200819,-70.12
20200820,-140.09
20200821,-302.23
20200824,167.26
20200825,76.62
20200826,62.56
20200827,119.69
20200828,-129.35
20200831,4.14
20200901,-146.05
20200902,155.04
20200903,2.54
20200904,-129.05
20200907,0.01
20200908,-8.51
20200909,-45.24
20200910,73.56
20200911,31.72
20200914,-17.05
20200915,107.01
20200916,202.39
20200917,-69.66
20200918,-61.55
20200921,16.01
20200922,-87.7
20200923,-130.61
20200924,-168.82
20200925,-174.54
20200928,-30.58
20200929,205.74
20200930,-4.45
20201005,84.23
20201006,76.21
20201007,23.42
20201008,165.03
20201012,126.61
20201013,29.29
20201014,-61.35
20201015,-34.8
20201016,-78.13
20201019,-10.84
20201020,86.67
20201021,-0.11
20201022,-34.91
20201023,90.15
20201026,-21.57
20201027,-55.78
20201028,-14.01
20201029,-166.12
20201030,-36.29
20201102,-86.03
20201103,75.96
20201104,125.58
20201105,111.15
20201106,74.48
20201109,101.49
20201110,36.67
20201111,-23.61
20201112,257.82
20201113,-103.06
20201116,134.94
20201117,367.03
20201118,-95.35
20201119,146.84
20201120,-72.67
20201123,90.96
20201124,125.29
20201125,-57.89
20201126,-97.16
20201127,69.42
20201130,84.44
20201201,-107.1
20201202,159.96
20201203,17.98
20201204,21.68
20201207,219.83
20201208,21.94
20201209,84.75
20201210,-41.54
20201211,3.44
20201214,-59.67
20201215,-32.59
20201216,-61.09
20201217,180.92
20201218,-58.03
20201221,5.66
20201222,74.32
20201223,-167.41
20201224,75.59
20201225,50.69
20201228,56.47
20201229,137.46
20201230,-14.94
20201231,218.56
20210104,15.72
20210105,193.39
20210106,232.21
20210107,-86.33
20210108,305.61
20210111,60.45
20210112,123.95
20210113,0.63
20210114,101.04
20210115,335.96
20210118,-310.71
20210119,40.19
20210120,218.21
20210121,-159.12
20210122,209.16
20210125,21.32
20210126,-51.05
20210127,-243.4
20210128,-191.91
20210129,24.51
20210201,-367.8
20210202,370.13
20210203,281.95
20210204,-130.89
20210205,108.01
20210217,391.69
20210218,168.78
20210219,10.68
20210222,68.96
20210223,-124.99
20210224,8.66
20210225,47.26
20210226,-186.76
20210302,-62.17
20210303,-135.55
20210304,99.43
20210305,-332.17
20210308,183.79
20210309,-228.3
20210310,206.38
20210311,25.76
20210312,294.34
20210315,15.03
20210316,-2.65
20210317,59.05
20210318,-48.37
20210319,-78.15
20210322,-120.96
20210323,184.7
20210324,-255.24
20210325,15.58
20210326,129.83
20210329,271.3
20210330,78.64
20210331,38.92
20210401,9.05
20210406,173.51
20210407,59.56
20210408,15.21
20210409,187.72
20210412,-65.73
20210413,-36.15
20210414,-2.62
20210415,-18.72
20210416,177.29
20210419,112.9
20210420,90.33
20210421,51.18
20210422,19.97
20210423,-185.24
20210426,260.87
20210427,207.66
20210428,24.7
20210429,36.21
20210503,-141.41
20210504,-255.96
20210505,-280.81
20210506,-43.23
20210507,106.71
20210510,242.0
20210511,-137.04
20210512,-621.31
20210513,-847.55
20210514,150.91
20210517,-264.25
20210518,9.97
20210519,547.25
20210520,10.31
20210521,14.34
20210524,109.66
20210525,198.23
20210526,200.42
20210527,-53.47
20210528,98.34
20210531,258.43
20210601,150.02
20210602,94.42
20210603,8.39
20210604,23.76
20210607,-48.97
20210608,-81.75
20210609,-11.82
20210610,-57.98
20210611,175.91
20210615,79.25
20210616,77.67
20210617,-102.53
20210618,129.9
20210621,-79.25
20210622,-142.78
20210623,-35.12
20210624,230.98
20210625,112.5
20210628,60.75
20210629,89.33
20210630,27.1
